name,description,video
DOUBT,,doubt.mp4
DOUBT IT,,doubt_it.mp4
DOUBT THAT,,doubt_that.mp4
DOUBTFUL,,doubtful.mp4
DOUGH,,dough.mp4
DOUGLAS,(as in "the name"),douglas.mp4
DOVE,(as in "a type of bird"),dove.mp4
DOWN,,down.mp4
DOWN A BOTTLE,,down_a_bottle.mp4
DOWN PAYMENT,,down_payment.mp4
DOWNCAST,,downcast.mp4
DOWNERS,,downers.mp4
DOWNHILL,,downhill.mp4
DOWNLOAD,(as in "transfer computer data"),download.mp4
DOWNSTAIRS,,downstairs.mp4
DOWNTOWN,,downtown.mp4
DOWNTURN,(as in "related to economics"),downturn.mp4
DOWNWARD,,downward.mp4
DOZE,,doze.mp4
DR,,dr.mp4
DRAFT,,draft.mp4
DRAFT BEER,,draft_beer.mp4
DRAFTING,,drafting.mp4
DRAFTSMAN,,draftsman.mp4
DRAG,(as in "pull"),drag.mp4
DRAG,(as in "tedious"),drag2.mp4
DRAGON,,dragon.mp4
DRAGONFLY,,dragonfly.mp4
DRAIN,(as in "gone"),drain.mp4
DRAIN,(as in "a sink or toilet drain"),drain2.mp4
DRAIN,(as in "to drain water"),drain3.mp4
DRAIN,(as in "to drain a container of liquid"),drain4.mp4
DRAIN,(as in "drain a container"),drain5.mp4
DRAINED,,drained.mp4
DRAMA,,drama.mp4
DRAMATIST,,dramatist.mp4
DRAPES,(as in "curtains"),drapes.mp4
DRAW,(as in "make a drawing"),draw.mp4
DRAW,(as in "pull or draw something near"),draw2.mp4
DRAWER,(as in "dresser drawer"),drawer.mp4
DRAWERS,,drawers.mp4
DRAWING,,drawing.mp4
DREADFUL,,dreadful.mp4
DREAM,(as in "a dream"),dream.mp4
DREAM,(as in "multiple dreams"),dream2.mp4
DRESS,(as in "an article of clothing"),dress.mp4
DRESS,(as in "to get dressed or put clothes on"),dress2.mp4
DRESS,|(as in "the verb,_to_get_dresse.mp4,DRESS3.mp4
DRESS UP,,dress_up.mp4
DRESSER,,dresser.mp4
DRESSING,(as in "something like salad dressing"),dressing.mp4
DRESSY,,dressy.mp4
DREW,(as in "the name"),drew.mp4
DRIBBLE,(as in "dribbling or bouncing a ball"),dribble.mp4
DRINK,(as in "drink something"),drink.mp4
DRINK,(as in "drink alcohol"),drink2.mp4
DRINK,(as in "drink hard liquor"),drink3.mp4
DRINK,(as in "drink a shot"),drink4.mp4
DRINK,(as in "an animal drinking"),drink5.mp4
DRINK A SHOT,(as in "shot of alcohol"),drink_a_shot.mp4
DRINK LIQUOR,,drink_liquor.mp4
DRIP,,drip.mp4
DRIVE,(as in "to drive a vehicle"),drive.mp4
DRIVE,(as in "a street or address"),drive2.mp4
DRIVE ME UP A WALL,,drive_me_up_a_wall.mp4
DRIVER,,driver.mp4
DRIVEWAY,,driveway.mp4
DRIVING,,driving.mp4
DRIZZLE,(as in "light rain"),drizzle.mp4
DRONE ON AND ON,,drone_on_and_on.mp4
DROOL,,drool.mp4
DROP,(as in "to let go of an object"),drop.mp4
DROP,(as in "a drop of water"),drop2.mp4
DROP,(as in "abandoned"),drop3.mp4
DROP ME OFF,,drop_me_off.mp4
DROSS,(as in "rubbish"),dross.mp4
DROVE,(as in "past tense of drive vehicle"),drove.mp4
DROWN,,drown.mp4
DROWSY,,drowsy.mp4
DRUDGERY,(as in "hard or dull work"),drudgery.mp4
DRUG,(as in "an injected drug"),drug.mp4
DRUG,(as in "medicine or a prescription"),drug2.mp4
DRUG,(as in "an oral drug- a pill"),drug3.mp4
DRUMS,,drums.mp4
DRUNK,,drunk.mp4
DRUNKARD,,drunkard.mp4
DRY,,dry.mp4
DRY,(as in "really dry or very dry"),dry2.mp4
DRYER,(as in "clothes dryer"),dryer.mp4
DUCK,,duck.mp4
DUDE,,dude.mp4
DUE,,due.mp4
DULL,,dull.mp4
DULL,(as in "very dull"),dull2.mp4
DUMB,,dumb.mp4
DUMBFOUNDED,,dumbfounded.mp4
DUMPSTER,,dumpster.mp4
DUPLICATE,,duplicate.mp4
DUPLICITOUS,,duplicitous.mp4
DURING,,during.mp4
DUSK,,dusk.mp4
DUSTPAN,,dustpan.mp4
DUTCH,(as in "relating to the Netherlands"),dutch.mp4
DUTY,,duty.mp4
DVD,(as in "Digital Video Disc or Digital Versatile Disc"),dvd.mp4
DWELL,(as in "to dwell on or upon something; think at length"),dwell.mp4
DWELL,(as in "live or reside"),dwell2.mp4
DWINDLE,,dwindle.mp4
DYE,(as in "to color something"),dye.mp4
DYSPLASIA,,dysplasia.mp4
E,(as in "the letter E"),e.mp4
EACH,,each.mp4
EACH,(as in "more than one"),each2.mp4
EACH MINUTE,,each_minute.mp4
EACH OTHER,,each_other.mp4
EACH SECOND,,each_second.mp4
EAGER,,eager.mp4
EAGERLY,,eagerly.mp4
EAGLE,,eagle.mp4
EAR,,ear.mp4
EAR MUFFS,,ear_muffs.mp4
EARLY,,early.mp4
EARLY MORNING,,early_morning.mp4
EARN,,earn.mp4
EARNEST,,earnest.mp4
EARRING,,earring.mp4
EARRINGS,(as in "pierced earrings"),earrings.mp4
EARRINGS,(as in "clip-on earrings"),earrings2.mp4
EARS,,ears.mp4
EARTH,,earth.mp4
EARTH DAY,,earth_day.mp4
EARTHLY,,earthly.mp4
EARTHQUAKE,,earthquake.mp4
EASEL,,easel.mp4
EAST,,east.mp4
EAST LANSING,(as in "the home of Michigan State University"),east_lansing.mp4
EAST TIMOR,(as in "the country"),east_timor.mp4
EASTER,,easter.mp4
EASY,,easy.mp4
EASY GOING,,easy_going.mp4
EAT,,eat.mp4
EAT,(as in "stuffing yourself"),eat2.mp4
EAT A LOT,,eat_a_lot.mp4
EAT CAREFULLY,,eat_carefully.mp4
EAT HEALTHY,,eat_healthy.mp4
EAT UP,,eat_up.mp4
EAT YOUR HEART OUT,,eat_your_heart_out.mp4
EAT YOUR WORDS,,eat_your_words.mp4
EAVESDROPPING,,eavesdropping.mp4
ECCLESIASTICAL,,ecclesiastical.mp4
ECONOMIZE,,economize.mp4
ECONOMY,,economy.mp4
ECSTATIC,(as in "very happy"),ecstatic.mp4
ECUADOR,(as in "the country"),ecuador.mp4
EDIT,(as in "edit a paper"),edit.mp4
EDUCATE,,educate.mp4
EDUCATION,,education.mp4
EDUCATOR,,educator.mp4
EE,(as in "the letter E twice"),ee.mp4
EFFECT,,effect.mp4
EFFEMINATE,,effeminate.mp4
EFFICIENT,,efficient.mp4
EFFORT,,effort.mp4
EGG,,egg.mp4
EGGNOG,(as in "the drink"),eggnog.mp4
EGGPLANT,,eggplant.mp4
EGGS,,eggs.mp4
EGO,,ego.mp4
EGO BOOST,,ego_boost.mp4
EGO DEFLATED,,ego_deflated.mp4
EGOTISTIC,,egotistic.mp4
EGYPT,,egypt.mp4
EIGHT,,eight.mp4
EIGHT DAYS,,eight_days.mp4
EIGHT DAYS AGO,,eight_days_ago.mp4
EIGHT DOLLARS,,eight_dollars.mp4
EIGHT HOURS,,eight_hours.mp4
EIGHT HUNDRED,,eight_hundred.mp4
EIGHT MINUTES,,eight_minutes.mp4
EIGHT MONTHS,,eight_months.mp4
EIGHT MONTHS AGO,,eight_months_ago.mp4
EIGHT THOUSAND,,eight_thousand.mp4
EIGHT WEEKS,,eight_weeks.mp4
EIGHT WEEKS AGO,(as in "8 weeks in the past"),eight_weeks_ago.mp4
EIGHT YEARS,,eight_years.mp4
EIGHT YEARS OLD,,eight_years_old.mp4
EIGHTEEN,,eighteen.mp4
EIGHTH,(as in "in a sequence"),eighth.mp4
EIGHTY,,eighty.mp4
EIGHTY-EIGHT,,eighty2eight.mp4
EIGHTY-FIVE,,eighty2five.mp4
EIGHTY-FOUR,,eighty2four.mp4
EIGHTY-NINE,,eighty2nine.mp4
EIGHTY-ONE,,eighty2one.mp4
EIGHTY-SEVEN,,eighty2seven.mp4
EIGHTY-SIX,,eighty2six.mp4
EIGHTY-THREE,,eighty2three.mp4
EIGHTY-TWO,,eighty2two.mp4
EITHER,,either.mp4
EL SALVADOR,(as in "the country"),el_salvador.mp4
ELABORATE,,elaborate.mp4
ELASTIC,,elastic.mp4
ELASTIC BANDAGE,,elastic_bandage.mp4
ELBOW,(as in "the body part"),elbow.mp4
ELBOW,(as in "striking someone with your elbow"),elbow2.mp4
ELDER,,elder.mp4
ELDEST,,eldest.mp4
ELEANOR,(as in "the name"),eleanor.mp4
ELECT,(as in "choose"),elect.mp4
ELECTION,,election.mp4
ELECTION DAY,,election_day.mp4
ELECTRIC,,electric.mp4
ELECTRICAL,,electrical.mp4
ELECTRICIAN,,electrician.mp4
ELECTRICITY,,electricity.mp4
ELEGANT,,elegant.mp4
ELEMENTARY,,elementary.mp4
ELEMENTARY SCHOOL,,elementary_school.mp4
ELENA,(as in "the name"),elena.mp4
ELEPHANT,,elephant.mp4
ELEVATE,,elevate.mp4
ELEVATOR,,elevator.mp4
ELEVEN,,eleven.mp4
ELEVENTH GRADE,,eleventh_grade.mp4
ELF,,elf.mp4
ELI,(as in "the name"),eli.mp4
ELIAS,(as in "the name"),elias.mp4
ELIMINATE,(as in "to take away or subtract"),eliminate.mp4
ELITE,,elite.mp4
ELK,,elk.mp4
ELLA,(as in "the name"),ella.mp4
ELLIOT,(as in "the name"),elliot.mp4
ELLIOTT,(as in "the name"),elliott.mp4
ELOPE,,elope.mp4
ELSA,(as in "the name"),elsa.mp4
ELSE,,else1.mp4
ELSIE,(as in "the name"),elsie.mp4
ELTON,(as in "the name"),elton.mp4
ELUDE,,elude.mp4
ELUDE,(as in "elude a lot"),elude2.mp4
EMAIL,,email.mp4
EMBARRASS,,embarrass.mp4
EMBARRASSED,,embarrassed.mp4
EMBARRASSMENT,,embarrassment.mp4
EMBEZZLE,,embezzle.mp4
EMBLEM,,emblem.mp4
EMBRACE,,embrace.mp4
EMERALD,(as in "the precious stone"),emerald.mp4
EMERGE,(as in "appear"),emerge.mp4
EMERGENCY,,emergency.mp4
EMERGENCY NURSE,,emergency_nurse.mp4
EMERGING,,emerging.mp4
EMERSON,(as in "the name"),emerson.mp4
EMILY,(as in "the name"),emily.mp4
EMINEM,(as in "the name"),eminem.mp4
EMMANUEL,,emmanuel.mp4
EMMY,,emmy.mp4
EMOTION,,emotion.mp4
EMOTIONAL,,emotional.mp4
EMPATHY,,empathy.mp4
EMPEROR,,emperor.mp4
EMPHASIS,,emphasis.mp4
EMPHASIZE,,emphasize.mp4
EMPLOY,,employ.mp4
EMPLOY ME,,employ_me.mp4
EMPLOYEE,,employee.mp4
EMPLOYMENT,,employment.mp4
EMPTY,,empty.mp4
EMPTY,(as in "to empty a container of liquid"),empty2.mp4
EMPTY,(as in "empty a container"),empty3.mp4
EMU,,emu.mp4
EN MASS,,en_mass.mp4
ENABLE,,enable.mp4
ENCORE,,encore.mp4
ENCOUNTER,(as in "I met"),encounter.mp4
ENCOUNTER,(as in "they met"),encounter2.mp4
ENCOURAGE,(as in "to motivate"),encourage.mp4
ENCOURAGEMENT,,encouragement.mp4
ENCYCLOPEDIA,,encyclopedia.mp4
END,,end.mp4
ENDANGER,,endanger.mp4
ENDORSE,,endorse.mp4
ENDURANCE,,endurance.mp4
ENDURE,,endure.mp4
ENEMY,,enemy.mp4
ENERGY,,energy.mp4
ENGAGED,(as in "agreed to be married"),engaged.mp4
ENGAGEMENT,(as in "an appointment"),engagement.mp4
ENGAGEMENT,(as in "plan to get married"),engagement2.mp4
ENGINE,,engine.mp4
ENGINEER,(as in "the profession or discipline"),engineer.mp4
ENGINEER,(as in "the person"),engineer2.mp4
ENGLAND,(as in "the country"),england.mp4
ENGLISH,(as in "from England"),english.mp4
ENGLISH,(as in "the language"),english2.mp4
ENGRAVE,,engrave.mp4
ENGRAVER,,engraver.mp4
ENHANCE,(as in "to better"),enhance.mp4
ENHANCE,(as in "big improvement"),enhance2.mp4
ENHANCE,(as in "little or incremental improvement"),enhance3.mp4
ENJOY,,enjoy.mp4
ENLARGE,,enlarge.mp4
ENLIGHTEN,(as in "to inform"),enlighten.mp4
ENORMOUS,,enormous.mp4
ENOUGH,,enough.mp4
ENRAGE,(as in "anger or mad"),enrage.mp4
ENRAGED,(as in "mad or angry"),enraged.mp4
ENROLL,,enroll.mp4
ENTER,,enter.mp4
ENTERTAIN,,entertain.mp4
ENTERTAINMENT,,entertainment.mp4
ENTHUSIASTIC,,enthusiastic.mp4
ENTICE,,entice.mp4
ENTIRE,,entire.mp4
ENTREAT,,entreat.mp4
ENTRY,,entry.mp4
ENVELOPE,,envelope.mp4
ENVIRONMENT,,environment.mp4
ENVISION,,envision.mp4
ENVY,,envy.mp4
EPHPHATHA,,ephphatha.mp4
EPIDEMIC,,epidemic.mp4
EPIPHANY,(as in "a sudden revelation or idea"),epiphany.mp4
EPIPHANY,(as in "the festival commemorating the Epiphany"),epiphany2.mp4
EPISCOPAL,,episcopal.mp4
EPISCOPALIAN,,episcopalian.mp4
EPISTLE,,epistle.mp4
EQUAL,,equal.mp4
EQUATOR,,equator.mp4
EQUIPMENT,,equipment.mp4
ERA,,era.mp4
ERASE,,erase.mp4
ERASER,,eraser.mp4
ERECT,(as in "to construct or build"),erect.mp4
ERIN,(as in "the name"),erin.mp4
ERRAND,,errand.mp4
ERROR,,error.mp4
ERUPT,,erupt.mp4
ESCALATE,,escalate.mp4
ESCALATOR,(as in "an upward moving escalator"),escalator.mp4
ESCALATOR,(as in "a downward moving escalator"),escalator2.mp4
ESCAPE,,escape.mp4
ESKIMO,,eskimo.mp4
ESOPHAGUS,,esophagus.mp4
ESPECIALLY,,especially.mp4
ESSENTIAL,,essential.mp4
ESTABLISH,,establish.mp4
ESTIMATE,(as in "to guess"),estimate.mp4
ESTIMATE,(as in "to figure out"),estimate2.mp4
ESTONIA,(as in "the country"),estonia.mp4
ESTRANGED,,estranged.mp4
ET CETERA,,et_cetera.mp4
ETERNAL,,eternal.mp4
ETERNITY,,eternity.mp4
ETHNICITY,,ethnicity.mp4
EUCHARIST,,eucharist.mp4
EUREKA,,eureka.mp4
EUROPE,,europe.mp4
EUROPEAN,(as in "origin from Europe"),european.mp4
EVADE,(as in "to avoid"),evade.mp4
EVADE,(as in "evade a lot"),evade2.mp4
EVALUATE,,evaluate.mp4
EVAN,(as in "the name"),evan.mp4
EVANGELICAL,,evangelical.mp4
EVANGELISM,,evangelism.mp4
EVANGELIST,,evangelist.mp4
EVANGELIZE,,evangelize.mp4
EVAPORATE,,evaporate.mp4
EVE,(as in "the first woman"),eve.mp4
EVEN,(as in "the same/equal or get even"),even.mp4
EVEN THOUGH,,even_though.mp4
EVENING,,evening.mp4
EVENING PRAYER,,evening_prayer.mp4
EVENINGS,,evenings.mp4
EVENT,,event.mp4
EVER,,ever.mp4
EVERETT,(as in "the name"),everett.mp4
EVERLASTING,(as in "never ending"),everlasting.mp4
EVERY,,every.mp4
EVERY AFTERNOON,,every_afternoon.mp4
EVERY AUTUMN,,every_autumn.mp4
EVERY EVENING,,every_evening.mp4
EVERY FALL,,every_fall.mp4
EVERY FRIDAY,,every_friday.mp4
EVERY HOUR,,every_hour.mp4
EVERY MINUTE,,every_minute.mp4
EVERY MONDAY,,every_monday.mp4
EVERY MONTH,,every_month.mp4
EVERY MORNING,,every_morning.mp4
EVERY NIGHT,,every_night.mp4
EVERY SATURDAY,,every_saturday.mp4
EVERY SECOND,,every_second.mp4
EVERY SPRING,,every_spring.mp4
EVERY SUMMER,,every_summer.mp4
EVERY SUNDAY,,every_sunday.mp4
EVERY THURSDAY,,every_thursday.mp4
EVERY TUESDAY,,every_tuesday.mp4
EVERY WEDNESDAY,,every_wednesday.mp4
EVERY WEEK,,every_week.mp4
EVERY WINTER,,every_winter.mp4
EVERY YEAR,,every_year.mp4
EVERYBODY,,everybody.mp4
EVERYDAY,,everyday.mp4
EVERYONE,,everyone.mp4
EVERYONE LOOK AT ME,,everyone_look_at_me.mp4
EVERYTHING,,everything.mp4
EVERYWHERE,,everywhere.mp4
EVIDENCE,,evidence.mp4
EVIL,,evil.mp4
EX,(as in "a former relationship or position"),ex.mp4
EX-HUSBAND,,ex2husband.mp4
EX-WIFE,,ex2wife.mp4
EXACT,,exact.mp4
EXACTLY,,exactly.mp4
EXAGGERATE,,exaggerate.mp4
EXALT,,exalt.mp4
EXALTATION,,exaltation.mp4
EXAMINATION,(as in "examine or inspect"),examination.mp4
EXAMINATION,(as in "a quiz or test"),examination2.mp4
EXAMINATION,(as in "a medical examination"),examination3.mp4
EXAMINE,(as in "to examine something like a person or thing"),examine.mp4
EXAMINE,(as in "to look over an object"),examine2.mp4
EXAMPLE,(as in "something that illustrates something"),example.mp4
EXASPERATE,,exasperate.mp4
EXASPERATE,,exasperate2.mp4
EXCEED,,exceed.mp4
EXCELLENT,,excellent.mp4
EXCEPT,,except.mp4
EXCEPTIONAL,,exceptional.mp4
EXCESS,,excess.mp4
EXCESSIVE,(as in "a lot"),excessive.mp4
EXCESSIVE,(as in "to exaggerate"),excessive2.mp4
EXCHANGE,(as in "to trade or switch"),exchange.mp4
EXCITE,,excite.mp4
EXCLAMATION POINT,,exclamation_point.mp4
EXCLUDE,,exclude.mp4
EXCOMMUNICATION,,excommunication.mp4
EXCREMENT,,excrement.mp4
EXCUSE,(as in "to exempt"),excuse.mp4
EXCUSE ME,,excuse_me.mp4
EXECUTE,(as in "kill"),execute.mp4
EXECUTE,(as in "to do"),execute2.mp4
EXECUTE,(as in "to run a meeting"),execute3.mp4
EXEMPT,(as in "to excuse"),exempt.mp4
EXERCISE,(as in "physical exercise"),exercise.mp4
EXERCISE,(as in "an activity or lesson- mental exercise"),exercise2.mp4
EXERCISE PANTS,,exercise_pants.mp4
EXHAUSTED,,exhausted.mp4
EXHIBIT,(as in "a show"),exhibit.mp4
EXHIBITION,,exhibition.mp4
EXIST,(as in "to be alive"),exist.mp4
EXIT,,exit.mp4
EXODUS,,exodus.mp4
EXORBITANT,,exorbitant.mp4
EXPAND,(as in "expand an object"),expand.mp4
EXPAND,(as in "expand an idea"),expand2.mp4
EXPECT,,expect.mp4
EXPECTATION,,expectation.mp4
EXPEL,,expel.mp4
EXPENSE,,expense.mp4
EXPENSIVE,,expensive.mp4
EXPERIENCE,,experience.mp4
EXPERIMENT,,experiment.mp4
EXPERT,,expert.mp4
EXPERTISE,,expertise.mp4
EXPIRE,(as in "a certification"),expire.mp4
EXPIRE,(as in "a license expiring"),expire2.mp4
EXPLAIN,,explain.mp4
EXPLANATION,,explanation.mp4
EXPLODE,,explode.mp4
EXPLORE,,explore.mp4
EXPLORER,,explorer.mp4
EXPLOSION,,explosion.mp4
EXPORT,(as in "export to someone"),export.mp4
EXPORT,(as in "export to me"),export2.mp4
EXPOSE,,expose.mp4
EXPOSURE,,exposure.mp4
EXPRESS,,express.mp4
EXPRESSION,(as in "facial expression"),expression.mp4
EXPRESSION,(as in "to express emotion"),expression2.mp4
EXTEND,,extend.mp4
EXTENSIVE,,extensive.mp4
EXTERIOR,,exterior.mp4
EXTINCT,,extinct.mp4
EXTRA,,extra.mp4
EXTRA EFFORT,,extra_effort.mp4
EXTRA HARD,,extra_hard.mp4
EXTRACURRICULAR,(as in "after school activities"),extracurricular.mp4
EXTREME,,extreme.mp4
EXTREMELY PARCHED,,extremely_parched.mp4
EXTREMELY THIRSTY,,extremely_thirsty.mp4
EYE,,eye.mp4
EYE PATCH,,eye_patch.mp4
EYEBROW,,eyebrow.mp4
EYEBROWS,,eyebrows.mp4
EYEGLASSES,,eyeglasses.mp4
EYELASH,,eyelash.mp4
EYELASHES,,eyelashes.mp4
EYES,,eyes.mp4
F,(as in "the letter F"),f.mp4
FABRIC,(as in "material"),fabric.mp4
FABULOUS,,fabulous.mp4
FACE,(as in "the body part"),face.mp4
FACE,(as in "face to face"),face2.mp4
FACE TO FACE,,face_to_face.mp4
FACEBOOK,(as in "the social media service"),facebook.mp4
FACETIME,(as in "the video messaging app"),facetime.mp4
FACIAL HAIR,,facial_hair.mp4
FACILITATE,,facilitate.mp4
FACILITATION,,facilitation.mp4
FACILITATOR,,facilitator.mp4
FACT,,fact.mp4
FACTORY,,factory.mp4
FACULTY,,faculty.mp4
FADE,,fade.mp4
FADE AWAY,,fade_away.mp4
FAHRENHEIT,(as in "the scale of temperature"),fahrenheit.mp4
FAIL,,fail.mp4
FAINT,,faint.mp4
FAIR,(as in "ok but not outstanding"),fair.mp4
FAIR,(as in "equal or even"),fair2.mp4
FAIRY,,fairy.mp4
FAITH,,faith.mp4
FAITHFUL,,faithful.mp4
FAJITA,,fajita.mp4
FAKE,(as in "something created in your head; fantasy"),fake.mp4
FAKE,(as in "false or artificial"),fake2.mp4
FAKE,(as in "a character flaw"),fake3.mp4
FALKLAND ISLANDS,(as in "the South Atlantic archipelago"),falkland_islands.mp4
FALL,(as in "the season"),fall.mp4
FALL,(as in "fall to the side"),fall2.mp4
FALL,(as in "fall over"),fall3.mp4
FALL,(as in "fall back or fall on your butt"),fall4.mp4
FALL APART,,fall_apart.mp4
FALL BACK,(as in "setting clocks back one hour in the fall"),fall_back.mp4
FALL BEHIND,,fall_behind.mp4
FALL BEHIND,(as in "fall behind a lot"),fall_behind2.mp4
FALL DOWN,,fall_down.mp4
FALL IN LOVE,,fall_in_love.mp4
FALLEN ANGEL,,fallen_angel.mp4
FALSE,,false.mp4
FALSEHOOD,,falsehood.mp4
FAME,,fame.mp4
FAMILIAR,,familiar.mp4
FAMILY,,family.mp4
FAMINE,,famine.mp4
FAMISH,,famish.mp4
FAMOUS,,famous.mp4
FAN,(as in "to fan yourself"),fan.mp4
FAN,(as in "to be a fan of something"),fan2.mp4
FAN,(as in "a mechanical fan"),fan3.mp4
FANATIC,,fanatic.mp4
FANATIC,,fanatic2.mp4
FANATICAL,,fanatical.mp4
FANCY,,fancy.mp4
FANTASTIC,,fantastic.mp4
FANTASY,,fantasy.mp4
FAR,(as in "distant"),far.mp4
FAR AWAY,,far_away.mp4
FAR IN THE FUTURE,,far_in_the_future.mp4
FAR OUT,(as in "groovy"),far_out.mp4
FARE,,fare.mp4
FAREWELL,,farewell.mp4
FARM,,farm.mp4
FARMER,,farmer.mp4
FART,,fart.mp4
FASCINATE,,fascinate.mp4
FASHION,,fashion.mp4
FASHION,(as in "to make"),fashion2.mp4
FAST,(as in "quick"),fast.mp4
FAST,(as in "to refrain from eating"),fast2.mp4
FAST FOOD,,fast_food.mp4
FASTEN,,fasten.mp4
FASTER,,faster.mp4
FASTING,(as in "to refrain from eating"),fasting.mp4
FAT,(as in "overweight"),fat.mp4
FAT,(as in "grease or oil"),fat2.mp4
FATE,,fate.mp4
FATHER,(as in "male parent"),father.mp4
FATHER,(as in "heavenly father"),father2.mp4
FATHER,(as in "priest"),father3.mp4
'FATHER''S DAY',,father1s_day.mp4
FATHER-IN-LAW,,father2in2law.mp4
FATIGUE,,fatigue.mp4
FATSO,,fatso.mp4
FAULT,(as in "blame or guilt"),fault.mp4
FAULT,(as in "wrong"),fault2.mp4
FAULT,(as in "my fault"),fault3.mp4
FAULT,(as in "your fault"),fault4.mp4
FAUNA,,fauna.mp4
FAUX,,faux.mp4
FAVOR,(as in "support"),favor.mp4
FAVORITE,,favorite.mp4
FAWN,(as in "a young deer"),fawn.mp4
FAX,,fax.mp4
FEAR,,fear.mp4
FEARFUL,,fearful.mp4
FEARLESS,,fearless.mp4
FEAST,,feast.mp4
FEAST OF THE TABERNACLES,,feast_of_the_tabernacles.mp4
FEAST OF WEEKS,,feast_of_weeks.mp4
FEATHER,,feather.mp4
FEATURE,,feature.mp4
FEBRUARY,(as in "the month"),february.mp4
FECES,,feces.mp4
FED UP,,fed_up.mp4
FEDERAL,,federal.mp4
FEE,,fee.mp4
FEEBLE,,feeble.mp4
FEEBLE MINDED,,feeble_minded.mp4
FEED,'(as in "the verb ''feed the animals'' and the noun ''give the horse her feed''")',feed.mp4
FEED,(as in "to give or dispense"),feed2.mp4
FEEDBACK,,feedback.mp4
FEEL,(as in "have an emotion or to touch"),feel.mp4
FEEL NOTHING,,feel_nothing.mp4
FEEL POSITIVE,,feel_positive.mp4
FEELING,,feeling.mp4
FEELS GOOD,,feels_good.mp4
FELLOWSHIP,(as in "association"),fellowship.mp4
FEMALE,,female.mp4
FEMININE,,feminine.mp4
FEMME,,femme.mp4
FENCE,(as in "a barrier between two areas"),fence.mp4
FENCING,(as in "the sport of sword play"),fencing.mp4
FERRET,,ferret.mp4
FERRIS WHEEL,,ferris_wheel.mp4
FERVENT,,fervent.mp4
FESTIVAL,,festival.mp4
FESTIVAL OF LIGHTS,,festival_of_lights.mp4
FETCH,(as in "fetch to me"),fetch.mp4
FETCH,(as in "fetch to someone"),fetch2.mp4
FEVER,,fever.mp4
FEW,,few.mp4
FF,(as in "the letter F twice"),ff.mp4
FIANCE,,fiance.mp4
FIANCEE,,fiancee.mp4
FIB,,fib.mp4
FICTION,,fiction.mp4
FIDDLE,,fiddle.mp4
FIELD,(as in "profession"),field.mp4
FIELD,(as in "land or area"),field2.mp4
FIELD TRIP,,field_trip.mp4
FIERCE,(as in "confident or powerful"),fierce.mp4
FIERCE,(as in "mean"),fierce2.mp4
FIFTEEN,,fifteen.mp4
FIFTH,(as in "in a sequence"),fifth.mp4
FIFTH,(as in "a thing in a list"),fifth2.mp4
FIFTH,|(as in "the amount,_1/.mp4,FIFTH3.mp4
FIFTY,,fifty.mp4
FIFTY PERCENT OFF,,fifty_percent_off.mp4
FIFTY-EIGHT,,fifty2eight.mp4
FIFTY-FIVE,,fifty2five.mp4
FIFTY-FOUR,,fifty2four.mp4
FIFTY-NINE,,fifty2nine.mp4
FIFTY-ONE,,fifty2one.mp4
FIFTY-SEVEN,,fifty2seven.mp4
FIFTY-SIX,,fifty2six.mp4
FIFTY-THREE,,fifty2three.mp4
FIFTY-TWO,,fifty2two.mp4
FIGHT,(as in "argue"),fight.mp4
FIGHT,(as in "physical encounter"),fight2.mp4
FIGHT,(as in "struggle"),fight3.mp4
FIGHTING,,fighting.mp4
FIGURE,(as in "body shape"),figure.mp4
FIGURE,(as in "to figure something out"),figure2.mp4
FIGURE OUT,,figure_out.mp4
FILE,(as in "store something in an organized fashion"),file.mp4
FILE,(as in "computer file"),file2.mp4
FILIBUSTER,,filibuster.mp4
FILING,,filing.mp4
FILL,,fill.mp4
FILLED WITH,,filled_with.mp4
FILM,,film.mp4
FILTER,,filter.mp4
FILTHY,,filthy.mp4
FINAL,,final.mp4
FINALLY,,finally.mp4
FINANCE,,finance.mp4
FINANCES,,finances.mp4
FINANCIAL,,financial.mp4
FIND,(as in "to find something that is lost"),find.mp4
FIND,(as in "to look for something"),find2.mp4
FIND,(as in "to choose"),find3.mp4
FINE,(as in "ok or alright"),fine.mp4
FINE,(as in "a fee or tax being charged"),fine2.mp4
FINE,(as in "very fine or very OK"),fine3.mp4
FINEST,,finest.mp4
FINGER,,finger.mp4
FINGERLING,(as in "a young fish"),fingerling.mp4
FINGERNAIL,,fingernail.mp4
FINGERNAIL POLISH,,fingernail_polish.mp4
FINGERNAILS,,fingernails.mp4
FINGERPRINT,,fingerprint.mp4
FINGERS,,fingers.mp4
FINGERS CROSSED,,fingers_crossed.mp4
FINGERSPELL,,fingerspell.mp4
FINISH,(as in "done"),finish.mp4
FINISH,(as in "a command - enough or quit"),finish2.mp4
FINISH,(as in "a response emphasizing something is done already"),finish3.mp4
FINISH,(as in "complete"),finish4.mp4
FINISH,(as in "to finish a container of liquid"),finish5.mp4
FINISH,(as in "finish a container"),finish6.mp4
FINISH OFF A BOTTLE,,finish_off_a_bottle.mp4
FINISH OFF A GLASS,,finish_off_a_glass.mp4
FINLAND,(as in "the country"),finland.mp4
FIRE,(as in "shoot a pistol"),fire.mp4
FIRE,(as in "something burning"),fire2.mp4
FIRE,(as in "to fire an employee or get fired from a job"),fire3.mp4
